rho,arrival_rate_pkts_s,service_rate_pkts_s,tx_delay_s,sim_total_mm1_s,sim_queue_mm1_s,sim_total_md1_s,sim_queue_md1_s,analytic_mm1_total_s,analytic_mm1_queue_s
0.04,33.333333333333336,833.3333333333334,0.0012,0.0012318155733265143,3.414518297296809e-05,0.0012240257356818933,2.4025735683584213e-05,0.00125,5e-05
0.08,66.66666666666667,833.3333333333334,0.0012,0.0013322692377460866,0.00012783328458424,0.001249376392827582,4.937639282929119e-05,0.0013043478260869564,0.00010434782608695651
0.12,100.0,833.3333333333334,0.0012,0.0013694932679263836,0.00016087736673357891,0.001283011436081177,8.301143608290034e-05,0.0013636363636363635,0.00016363636363636363
0.16,133.33333333333334,833.3333333333334,0.0012,0.0014535407234813312,0.00024802807521406676,0.001312634274278465,0.0001126342742801704,0.0014285714285714286,0.00022857142857142857
0.2,166.66666666666669,833.3333333333334,0.0012,0.0014916697142040253,0.0002996468409707394,0.0013465843714571654,0.0001465843714588909,0.0014999999999999998,0.0003
0.24,200.0,833.3333333333334,0.0012,0.0016161667018352306,0.00039947286776904526,0.0013919729136436646,0.0001919729136453888,0.0015789473684210526,0.0003789473684210526
0.28,233.33333333333337,833.3333333333334,0.0012,0.00166080208229772,0.00045656020304449556,0.0014275749297670997,0.00022757492976882378,0.0016666666666666668,0.0004666666666666667
0.32,266.6666666666667,833.3333333333334,0.0012,0.001768325583963107,0.0005744180300923986,0.0014864791812856401,0.00028647918128736963,0.001764705882352941,0.0005647058823529411
0.36,300.0,833.3333333333334,0.0012,0.0018690897584321088,0.0006686191842463793,0.0015279414181055679,0.00032794141810727926,0.001875,0.0006749999999999999
0.4,333.33333333333337,833.3333333333334,0.0012,0.0019652743696837818,0.0007706577011376361,0.0016016275774649088,0.0004016275774666404,0.002,0.0008
0.44,366.6666666666667,833.3333333333334,0.0012,0.0021381000819035265,0.0009394204652358588,0.0016740842858758518,0.0004740842858775814,0.002142857142857143,0.0009428571428571429
0.48,400.0,833.3333333333334,0.0012,0.00232764406589091,0.001125705865278855,0.0017414125267177184,0.0005414125267194495,0.0023076923076923075,0.0011076923076923076
0.52,433.33333333333337,833.3333333333334,0.0012,0.0025068293936525185,0.0013129352756909409,0.0018701745666334774,0.0006701745666352008,0.0025,0.0013
0.56,466.66666666666674,833.3333333333334,0.0012,0.0027482486757694517,0.0015459619519950106,0.0019717616508089196,0.0007717616508106433,0.0027272727272727275,0.0015272727272727276
0.6,500.0,833.3333333333334,0.0012,0.0030040035433380498,0.0018040798754293409,0.0020949837850059044,0.000894983785007635,0.0029999999999999996,0.0017999999999999997
0.64,533.3333333333334,833.3333333333334,0.0012,0.0033362362708578663,0.0021406535581858068,0.002286376969543696,0.001086376969545424,0.0033333333333333335,0.0021333333333333334
0.68,566.6666666666667,833.3333333333334,0.0012,0.003829571478004662,0.0026249825733783436,0.0024530053562871507,0.0012530053562888805,0.0037500000000000007,0.0025500000000000006
0.72,600.0,833.3333333333334,0.0012,0.004410351599170456,0.0032060244557339736,0.0027885608014808173,0.0015885608014825335,0.004285714285714285,0.003085714285714285
0.76,633.3333333333334,833.3333333333334,0.0012,0.004920120771891935,0.0037165093326257544,0.003170730779783166,0.0019707307797848933,0.005,0.0038
0.8,666.6666666666667,833.3333333333334,0.0012,0.005779798471319231,0.004578782335677543,0.0035991125351424367,0.00239911253514417,0.006000000000000001,0.004800000000000001
0.84,700.0,833.3333333333334,0.0012,0.007106118624293832,0.005910242692382789,0.00460352769293051,0.0034035276929322337,0.007499999999999998,0.006299999999999998
0.88,733.3333333333334,833.3333333333334,0.0012,0.011011858328352404,0.009810238947422207,0.005736757917393595,0.004536757917395328,0.01,0.0088
0.92,766.6666666666667,833.3333333333334,0.0012,0.016919222442144746,0.01571615396369252,0.0083058293662738,0.007105829366275516,0.015000000000000008,0.013800000000000008
0.96,800.0,833.3333333333334,0.0012,0.033941948836867214,0.032740082685388465,0.016531059431530562,0.015331059431532278,0.029999999999999964,0.028799999999999965
